date,total_orders,total_revenue,total_items_sold,avg_order_value,completed_orders
2023-01-01,6,2399.79,16,399.96,4
2023-01-02,8,6527.950000000001,42,815.99,7
2023-01-03,6,16573.97,32,2762.33,4
2023-01-04,10,15285.9,37,1528.59,8
2023-01-05,9,4111.4,27,456.82,6
2023-01-06,14,6621.48,50,472.96,14
2023-01-07,13,12526.81,52,963.6,8
2023-01-08,8,2623.6800000000003,29,327.96,6
2023-01-09,14,7860.38,52,561.46,12
2023-01-10,15,15987.01,62,1065.8,11
2023-01-11,11,9561.82,27,869.26,5
2023-01-12,10,6876.969999999999,38,687.7,7
2023-01-13,14,10918.28,50,779.88,13
2023-01-14,8,11365.61,35,1420.7,6
2023-01-15,9,4200.59,26,466.73,7
2023-01-16,14,9116.88,48,651.21,9
2023-01-17,17,8179.82,58,481.17,10
2023-01-18,4,3223.2899999999995,15,805.82,4
2023-01-19,6,2342.8599999999997,14,390.48,4
2023-01-20,14,8185.63,47,584.69,8
2023-01-21,10,5105.21,32,510.52,5
2023-01-22,14,10628.42,33,759.17,9
2023-01-23,7,4007.4700000000003,29,572.5,4
2023-01-24,8,7766.6,26,970.82,5
2023-01-25,7,6077.88,21,868.27,3
2023-01-26,10,13162.84,44,1316.28,5
2023-01-27,15,12777.630000000001,53,851.84,12
2023-01-28,8,3123.67,15,390.46,6
2023-01-29,11,11581.23,42,1052.84,9
2023-01-30,13,7617.65,48,585.97,6
2023-01-31,13,9637.69,48,741.36,11
2023-02-01,6,5961.27,21,993.54,6
2023-02-02,14,7376.09,46,526.86,11
2023-02-03,13,11650.59,47,896.2,8
2023-02-04,14,5013.7300000000005,37,358.12,11
2023-02-05,6,964.12,10,160.69,4
2023-02-06,11,6813.97,42,619.45,6
2023-02-07,13,9420.06,43,724.62,7
2023-02-08,12,11791.71,54,982.64,7
2023-02-09,9,5948.57,37,660.95,7
2023-02-10,17,20683.03,86,1216.65,11
2023-02-11,12,12169.41,56,1014.12,11
2023-02-12,15,10682.44,40,712.16,10
2023-02-13,8,4776.3,26,597.04,7
2023-02-14,12,9965.49,53,830.46,9
2023-02-15,16,12262.29,47,766.39,10
2023-02-16,15,9820.66,50,654.71,11
2023-02-17,7,3477.6600000000003,22,496.81,4
2023-02-18,7,9305.43,29,1329.35,3
2023-02-19,11,9881.64,40,898.33,9
2023-02-20,12,11790.8,40,982.57,5
2023-02-21,13,11845.550000000001,40,911.2,8
2023-02-22,10,11527.59,40,1152.76,7
2023-02-23,13,9897.69,53,761.36,8
2023-02-24,9,3384.83,22,376.09,5
2023-02-25,24,18542.04,89,772.58,18
2023-02-26,8,9497.98,38,1187.25,5
2023-02-27,18,7121.5,41,395.64,14
2023-02-28,11,6259.43,37,569.04,8
2023-03-01,10,9657.890000000001,31,965.79,8
2023-03-02,6,6887.67,18,1147.94,4
2023-03-03,10,14684.12,46,1468.41,7
2023-03-04,12,9040.83,35,753.4,8
2023-03-05,9,5871.7300000000005,33,652.41,7
2023-03-06,9,8393.3,30,932.59,6
2023-03-07,9,4280.46,33,475.61,5
2023-03-08,10,5269.09,32,526.91,6
2023-03-09,9,6305.54,27,700.62,5
2023-03-10,9,9558.57,31,1062.06,8
2023-03-11,12,5492.59,38,457.72,4
2023-03-12,15,13085.91,48,872.39,12
2023-03-13,9,7008.23,31,778.69,7
2023-03-14,10,6979.93,36,697.99,6
2023-03-15,9,4376.83,25,486.31,7
2023-03-16,11,6804.99,33,618.64,9
2023-03-17,15,15711.19,62,1047.41,12
2023-03-18,16,12041.35,65,752.58,8
2023-03-19,6,5403.1900000000005,20,900.53,5
2023-03-20,9,5352.5,31,594.72,7
2023-03-21,15,12857.49,43,857.17,12
2023-03-22,14,8126.42,49,580.46,10
2023-03-23,7,3016.15,21,430.88,6
2023-03-24,9,9811.93,31,1090.21,6
2023-03-25,8,4436.84,28,554.6,5
2023-03-26,9,7788.86,29,865.43,4
2023-03-27,10,4583.33,34,458.33,8
2023-03-28,18,18514.84,62,1028.6,13
2023-03-29,11,8424.65,33,765.88,7
2023-03-30,12,11918.87,57,993.24,10
2023-03-31,14,6374.1900000000005,29,455.3,10
2023-04-01,8,5277.2,24,659.65,6
2023-04-02,14,10750.85,47,767.92,9
2023-04-03,15,15952.119999999999,46,1063.47,13
2023-04-04,11,5425.66,29,493.24,10
2023-04-05,9,3820.34,26,424.48,8
2023-04-06,14,7792.9800000000005,44,556.64,7
2023-04-07,6,1579.02,12,263.17,5
2023-04-08,14,10771.5,39,769.39,8
2023-04-09,10,3963.7400000000002,27,396.37,8
2023-04-10,15,15101.42,69,1006.76,7
2023-04-11,12,10694.91,42,891.24,7
2023-04-12,7,4980.51,30,711.5,4
2023-04-13,18,10216.38,55,567.58,14
2023-04-14,9,10763.86,30,1195.98,7
2023-04-15,14,8266.08,50,590.43,7
2023-04-16,14,7349.22,46,524.94,10
2023-04-17,14,9522.67,49,680.19,12
2023-04-18,8,4851.59,18,606.45,6
2023-04-19,15,7036.67,48,469.11,10
2023-04-20,18,11351.8,79,630.66,13
2023-04-21,14,9143.03,40,653.07,11
2023-04-22,14,19753.37,61,1410.96,8
2023-04-23,10,9023.300000000001,34,902.33,8
2023-04-24,9,9015.02,32,1001.67,6
2023-04-25,3,1307.69,11,435.9,3
2023-04-26,13,5877.61,42,452.12,7
2023-04-27,15,15384.09,53,1025.61,11
2023-04-28,14,10403.789999999999,47,743.13,11
2023-04-29,16,13791.86,71,861.99,14
2023-04-30,8,2875.12,29,359.39,4
2023-05-01,12,6703.150000000001,37,558.6,10
2023-05-02,10,6378.98,28,637.9,5
2023-05-03,9,4857.9800000000005,41,539.78,5
2023-05-04,16,16749.05,64,1046.82,10
2023-05-05,13,9495.960000000001,41,730.46,8
2023-05-06,13,11511.86,41,885.53,9
2023-05-07,12,8367.84,44,697.32,10
2023-05-08,13,9850.06,39,757.7,11
2023-05-09,6,2961.91,21,493.65,5
2023-05-10,12,9573.24,35,797.77,9
2023-05-11,14,10078.550000000001,39,719.9,8
2023-05-12,7,5043.33,31,720.48,3
2023-05-13,9,6416.86,28,712.98,7
2023-05-14,18,22282.84,73,1237.94,12
2023-05-15,11,9584.45,39,871.31,10
2023-05-16,15,10724.16,44,714.94,12
2023-05-17,8,6609.56,25,826.2,5
2023-05-18,11,7403.67,39,673.06,8
2023-05-19,9,10196.55,43,1132.95,4
2023-05-20,9,7207.54,26,800.84,7
2023-05-21,12,7536.0,38,628.0,8
2023-05-22,13,8744.59,53,672.66,10
2023-05-23,12,11788.67,24,982.39,5
2023-05-24,13,9798.49,44,753.73,8
2023-05-25,6,3408.98,24,568.16,4
2023-05-26,13,12850.37,51,988.49,10
2023-05-27,14,7896.07,42,564.0,11
2023-05-28,8,16087.94,28,2010.99,7
2023-05-29,10,5925.63,30,592.56,9
2023-05-30,11,5835.8,31,530.53,9
2023-05-31,6,8767.68,26,1461.28,5
2023-06-01,14,11520.33,52,822.88,10
2023-06-02,15,7570.469999999999,60,504.7,11
2023-06-03,11,5382.74,35,489.34,9
2023-06-04,9,7577.35,25,841.93,7
2023-06-05,6,2531.31,17,421.88,3
2023-06-06,15,5222.37,42,348.16,10
2023-06-07,14,8472.64,52,605.19,8
2023-06-08,11,9395.21,35,854.11,6
2023-06-09,10,10976.929999999998,39,1097.69,6
2023-06-10,7,3126.66,15,446.67,4
2023-06-11,18,11095.9,56,616.44,8
2023-06-12,8,2952.38,28,369.05,6
2023-06-13,11,14397.81,38,1308.89,6
2023-06-14,14,10781.48,52,770.11,14
2023-06-15,8,4507.54,23,563.44,1
2023-06-16,14,7507.05,53,536.22,11
2023-06-17,6,2935.61,23,489.27,3
2023-06-18,10,4932.820000000001,15,493.28,8
2023-06-19,6,4119.71,32,686.62,5
2023-06-20,11,8729.42,42,793.58,8
2023-06-21,13,16814.98,41,1293.46,11
2023-06-22,10,6502.1,37,650.21,7
2023-06-23,9,8923.51,37,991.5,5
2023-06-24,15,8169.84,41,544.66,10
2023-06-25,11,6493.6900000000005,38,590.34,8
2023-06-26,6,3584.53,24,597.42,5
2023-06-27,13,7065.37,43,543.49,9
2023-06-28,11,14439.150000000001,42,1312.65,8
2023-06-29,18,9371.77,53,520.65,15
2023-06-30,12,5927.18,35,493.93,9
2023-07-01,9,5948.46,36,660.94,6
2023-07-02,12,7635.13,37,636.26,9
2023-07-03,14,10282.529999999999,38,734.47,10
2023-07-04,18,14799.23,71,822.18,15
2023-07-05,10,11385.8,56,1138.58,7
2023-07-06,10,6862.36,51,686.24,6
2023-07-07,6,4604.120000000001,20,767.35,3
2023-07-08,11,4653.76,36,423.07,9
2023-07-09,8,1620.23,16,202.53,4
2023-07-10,10,6388.91,26,638.89,5
2023-07-11,11,6726.08,35,611.46,7
2023-07-12,13,7173.420000000001,26,551.8,8
2023-07-13,9,1921.47,21,213.5,8
2023-07-14,13,12418.52,43,955.27,10
2023-07-15,6,6318.79,23,1053.13,4
2023-07-16,14,4929.29,43,352.09,7
2023-07-17,6,1530.1799999999998,15,255.03,6
2023-07-18,12,9999.51,32,833.29,10
2023-07-19,9,3012.9,20,334.77,6
2023-07-20,10,7427.66,31,742.77,6
2023-07-21,5,4198.75,21,839.75,2
2023-07-22,12,5968.53,34,497.38,10
2023-07-23,12,13929.9,58,1160.82,7
2023-07-24,20,12592.67,63,629.63,14
2023-07-25,12,12074.31,50,1006.19,7
2023-07-26,8,4410.47,19,551.31,5
2023-07-27,9,4227.25,30,469.69,7
2023-07-28,5,3195.0200000000004,10,639.0,4
2023-07-29,7,2420.23,17,345.75,5
2023-07-30,17,8813.14,57,518.42,14
2023-07-31,11,9591.4,36,871.95,9
2023-08-01,12,14290.16,52,1190.85,9
2023-08-02,5,1346.6599999999999,14,269.33,4
2023-08-03,10,4271.0,29,427.1,6
2023-08-04,11,8731.44,42,793.77,9
2023-08-05,10,6061.5,30,606.15,7
2023-08-06,10,4268.57,29,426.86,8
2023-08-07,11,3383.64,26,307.6,8
2023-08-08,10,4817.45,34,481.74,9
2023-08-09,13,9876.35,52,759.72,10
2023-08-10,8,5551.91,36,693.99,6
2023-08-11,8,5121.389999999999,27,640.17,6
2023-08-12,11,13564.59,50,1233.14,9
2023-08-13,15,16530.09,59,1102.01,10
2023-08-14,13,8221.1,36,632.39,10
2023-08-15,13,9485.45,44,729.65,9
2023-08-16,14,8986.16,56,641.87,11
2023-08-17,8,5189.41,28,648.68,3
2023-08-18,16,11213.54,50,700.85,14
2023-08-19,12,7258.28,43,604.86,9
2023-08-20,9,6399.01,22,711.0,7
2023-08-21,5,5688.43,25,1137.69,1
2023-08-22,11,8401.630000000001,53,763.78,9
2023-08-23,7,4097.49,19,585.36,5
2023-08-24,7,6250.59,40,892.94,5
2023-08-25,10,5506.34,25,550.63,8
2023-08-26,13,4653.44,26,357.96,10
2023-08-27,11,12812.86,47,1164.81,8
2023-08-28,11,8566.01,43,778.73,7
2023-08-29,11,5006.47,42,455.13,8
2023-08-30,12,16674.03,47,1389.5,10
2023-08-31,10,4616.42,34,461.64,7
2023-09-01,9,5244.56,28,582.73,5
2023-09-02,11,7368.06,29,669.82,4
2023-09-03,3,2387.85,9,795.95,3
2023-09-04,10,2660.5099999999998,17,266.05,6
2023-09-05,6,8371.45,27,1395.24,5
2023-09-06,12,7175.37,43,597.95,8
2023-09-07,8,2164.62,17,270.58,6
2023-09-08,10,5802.87,27,580.29,6
2023-09-09,11,10820.57,35,983.69,7
2023-09-10,9,9342.68,42,1038.08,5
2023-09-11,16,10763.01,72,672.69,13
2023-09-12,13,4379.7,38,336.9,7
2023-09-13,13,6096.49,38,468.96,11
2023-09-14,17,13608.18,73,800.48,13
2023-09-15,8,4414.81,27,551.85,5
